incident_number,created_at,alert_identifier,node_name,metric_value,service,description,alert_condition,alert_id
2948,2023-08-02 07:33:26,alert_880,node_P,30,service_B,Description of event,condition_4,2093
1605,2023-08-29 07:33:26,alert_311,node_F,31,service_C,Description of event,condition_5,4371
1189,2023-08-03 07:33:26,alert_363,node_S,72,service_C,Description of event,condition_5,4436
1229,2023-08-24 07:33:26,alert_235,node_G,25,service_C,Description of event,condition_1,3387
6001,2023-08-06 07:33:26,alert_206,node_W,89,service_E,Description of event,condition_5,4112
7246,2023-08-26 07:33:26,alert_141,node_E,75,service_B,Description of event,condition_5,5410
1354,2023-08-28 07:33:26,alert_490,node_V,36,service_A,Description of event,condition_1,9969
5069,2023-08-05 07:33:26,alert_540,node_X,75,service_D,Description of event,condition_1,4118
6470,2023-08-26 07:33:26,alert_594,node_Z,93,service_B,Description of event,condition_5,7493
6213,2023-08-24 07:33:26,alert_516,node_W,55,service_C,Description of event,condition_1,9540
9381,2023-08-14 07:33:26,alert_606,node_P,79,service_C,Description of event,condition_4,8304
3115,2023-08-24 07:33:26,alert_544,node_B,13,service_D,Description of event,condition_3,4047
3620,2023-08-24 07:33:26,alert_164,node_O,54,service_A,Description of event,condition_1,7685
2569,2023-08-18 07:33:26,alert_398,node_B,10,service_C,Description of event,condition_3,1666
4486,2023-08-08 07:33:26,alert_427,node_T,69,service_E,Description of event,condition_2,7220
1460,2023-08-09 07:33:26,alert_299,node_B,85,service_F,Description of event,condition_3,3801
6314,2023-08-07 07:33:26,alert_659,node_V,69,service_E,Description of event,condition_2,1272
4711,2023-08-13 07:33:26,alert_819,node_D,53,service_F,Description of event,condition_2,8558
8458,2023-08-01 07:33:26,alert_482,node_N,51,service_E,Description of event,condition_3,9777
2966,2023-08-03 07:33:26,alert_577,node_F,73,service_B,Description of event,condition_1,1670
1892,2023-08-24 07:33:26,alert_274,node_I,10,service_D,Description of event,condition_3,9235
1571,2023-08-11 07:33:26,alert_767,node_T,90,service_F,Description of event,condition_3,2024
3732,2023-08-10 07:33:26,alert_307,node_R,98,service_B,Description of event,condition_3,1287
4993,2023-08-06 07:33:26,alert_168,node_F,48,service_C,Description of event,condition_1,7101
4042,2023-08-29 07:33:26,alert_670,node_P,64,service_B,Description of event,condition_3,5304
5361,2023-08-30 07:33:26,alert_728,node_W,56,service_C,Description of event,condition_3,3079
6357,2023-08-18 07:33:26,alert_130,node_F,86,service_F,Description of event,condition_4,6583
7780,2023-08-18 07:33:26,alert_753,node_W,80,service_E,Description of event,condition_2,9424
2661,2023-08-09 07:33:26,alert_189,node_T,90,service_C,Description of event,condition_2,8513
4848,2023-08-28 07:33:26,alert_524,node_P,95,service_F,Description of event,condition_2,9607
8703,2023-08-01 07:33:26,alert_319,node_G,77,service_D,Description of event,condition_5,6868
2858,2023-08-20 07:33:26,alert_225,node_H,90,service_A,Description of event,condition_5,2525
6850,2023-08-27 07:33:26,alert_737,node_H,77,service_B,Description of event,condition_4,5573
7075,2023-08-12 07:33:26,alert_907,node_G,92,service_D,Description of event,condition_4,3345
9266,2023-08-26 07:33:26,alert_725,node_D,99,service_A,Description of event,condition_5,7287
6812,2023-08-20 07:33:26,alert_971,node_D,24,service_D,Description of event,condition_3,1426
2677,2023-08-13 07:33:26,alert_816,node_I,26,service_D,Description of event,condition_4,3507
6241,2023-08-29 07:33:26,alert_124,node_A,96,service_D,Description of event,condition_2,3665
8451,2023-08-28 07:33:26,alert_193,node_M,86,service_D,Description of event,condition_3,7085
2806,2023-08-22 07:33:26,alert_766,node_Y,48,service_F,Description of event,condition_3,5438
3283,2023-08-13 07:33:26,alert_906,node_P,43,service_B,Description of event,condition_2,9543
2411,2023-08-30 07:33:26,alert_141,node_F,99,service_D,Description of event,condition_5,8814
1234,2023-08-30 07:33:26,alert_196,node_Z,55,service_B,Description of event,condition_1,3953
4835,2023-08-25 07:33:26,alert_785,node_C,25,service_D,Description of event,condition_4,7030
2071,2023-08-02 07:33:26,alert_619,node_O,15,service_E,Description of event,condition_1,8858
7898,2023-08-05 07:33:26,alert_697,node_K,79,service_D,Description of event,condition_5,6297
2964,2023-08-06 07:33:26,alert_484,node_G,20,service_D,Description of event,condition_1,9194
9218,2023-08-20 07:33:26,alert_971,node_J,85,service_B,Description of event,condition_3,3668
9742,2023-08-06 07:33:26,alert_304,node_T,80,service_C,Description of event,condition_1,7307
8100,2023-08-03 07:33:26,alert_846,node_B,45,service_B,Description of event,condition_4,5948
3342,2023-08-14 07:33:26,alert_291,node_R,17,service_D,Description of event,condition_2,9832
4860,2023-08-03 07:33:26,alert_566,node_G,11,service_F,Description of event,condition_2,9896
6470,2023-08-23 07:33:26,alert_569,node_K,58,service_F,Description of event,condition_2,5741
9387,2023-08-26 07:33:26,alert_481,node_J,61,service_A,Description of event,condition_5,5526
9585,2023-08-23 07:33:26,alert_784,node_R,81,service_B,Description of event,condition_3,1677
7846,2023-08-18 07:33:26,alert_514,node_S,86,service_D,Description of event,condition_1,8389
7735,2023-08-03 07:33:26,alert_555,node_T,94,service_D,Description of event,condition_2,8318
9008,2023-08-03 07:33:26,alert_999,node_S,57,service_F,Description of event,condition_4,6556
6429,2023-08-13 07:33:26,alert_314,node_Q,45,service_C,Description of event,condition_2,2586
7763,2023-08-30 07:33:26,alert_587,node_U,69,service_D,Description of event,condition_4,1501
7099,2023-08-25 07:33:26,alert_938,node_A,22,service_C,Description of event,condition_4,6927
1052,2023-08-04 07:33:26,alert_358,node_E,47,service_C,Description of event,condition_2,8967
2423,2023-08-07 07:33:26,alert_429,node_P,98,service_E,Description of event,condition_4,9181
9566,2023-08-19 07:33:26,alert_984,node_N,48,service_C,Description of event,condition_1,6881
2090,2023-08-08 07:33:26,alert_285,node_C,14,service_B,Description of event,condition_3,1975
7519,2023-08-12 07:33:26,alert_247,node_M,49,service_D,Description of event,condition_4,1276
8538,2023-08-10 07:33:26,alert_257,node_J,24,service_B,Description of event,condition_5,7894
2646,2023-08-29 07:33:26,alert_987,node_E,64,service_E,Description of event,condition_2,2663
2038,2023-08-04 07:33:26,alert_965,node_S,51,service_E,Description of event,condition_3,5546
8052,2023-08-21 07:33:26,alert_211,node_P,51,service_B,Description of event,condition_1,2811
4017,2023-08-03 07:33:26,alert_484,node_R,42,service_E,Description of event,condition_2,2837
1664,2023-08-28 07:33:26,alert_641,node_D,47,service_A,Description of event,condition_2,4956
7481,2023-08-22 07:33:26,alert_336,node_Q,52,service_A,Description of event,condition_5,5865
5598,2023-08-25 07:33:26,alert_478,node_M,88,service_A,Description of event,condition_5,9953
2485,2023-08-20 07:33:26,alert_558,node_W,62,service_A,Description of event,condition_5,3326
3867,2023-08-18 07:33:26,alert_578,node_P,70,service_A,Description of event,condition_2,5184
6237,2023-08-27 07:33:26,alert_348,node_F,83,service_D,Description of event,condition_3,8896
6861,2023-08-21 07:33:26,alert_592,node_B,13,service_E,Description of event,condition_3,5082
4121,2023-08-17 07:33:26,alert_393,node_W,68,service_E,Description of event,condition_5,8685
5962,2023-08-04 07:33:26,alert_142,node_I,34,service_B,Description of event,condition_5,9383
7918,2023-08-09 07:33:26,alert_809,node_E,38,service_C,Description of event,condition_5,9428
4799,2023-08-07 07:33:26,alert_914,node_P,75,service_F,Description of event,condition_1,9444
6623,2023-08-29 07:33:26,alert_318,node_W,37,service_E,Description of event,condition_2,5714
2687,2023-08-06 07:33:26,alert_496,node_Q,38,service_B,Description of event,condition_1,8044
7194,2023-08-21 07:33:26,alert_868,node_J,44,service_E,Description of event,condition_5,2471
8764,2023-08-30 07:33:26,alert_898,node_L,99,service_C,Description of event,condition_2,8629
2983,2023-08-13 07:33:26,alert_614,node_D,100,service_A,Description of event,condition_3,5259
5793,2023-08-25 07:33:26,alert_584,node_Y,68,service_D,Description of event,condition_3,5372
6196,2023-08-21 07:33:26,alert_192,node_B,23,service_B,Description of event,condition_3,1142
7546,2023-08-04 07:33:26,alert_696,node_B,92,service_E,Description of event,condition_2,8261
4441,2023-08-16 07:33:26,alert_469,node_R,97,service_D,Description of event,condition_2,9601
8808,2023-08-08 07:33:26,alert_954,node_Y,65,service_D,Description of event,condition_1,7389
1304,2023-08-07 07:33:26,alert_332,node_D,36,service_C,Description of event,condition_3,8999
6873,2023-08-20 07:33:26,alert_238,node_E,45,service_E,Description of event,condition_5,9690
8027,2023-08-17 07:33:26,alert_571,node_S,100,service_B,Description of event,condition_4,2053
3865,2023-08-09 07:33:26,alert_383,node_V,60,service_B,Description of event,condition_5,7048
5120,2023-08-26 07:33:26,alert_341,node_Z,20,service_B,Description of event,condition_1,7647
7271,2023-08-02 07:33:26,alert_678,node_Z,34,service_F,Description of event,condition_2,4340
7473,2023-08-18 07:33:26,alert_229,node_P,31,service_F,Description of event,condition_1,6247
7210,2023-08-01 07:33:26,alert_974,node_T,58,service_D,Description of event,condition_3,4982
9045,2023-08-17 07:33:26,alert_394,node_V,56,service_A,Description of event,condition_5,9815
4228,2023-08-14 07:33:26,alert_249,node_G,26,service_B,Description of event,condition_2,1710
4108,2023-08-15 07:33:26,alert_930,node_J,57,service_E,Description of event,condition_3,9983
1097,2023-08-28 07:33:26,alert_790,node_B,87,service_B,Description of event,condition_4,2372
3152,2023-08-09 07:33:26,alert_353,node_W,25,service_E,Description of event,condition_3,3359
5086,2023-08-10 07:33:26,alert_188,node_H,45,service_A,Description of event,condition_4,9453
1899,2023-08-13 07:33:26,alert_747,node_M,78,service_D,Description of event,condition_3,6735
3487,2023-08-28 07:33:26,alert_438,node_Y,50,service_F,Description of event,condition_3,5068
7633,2023-08-11 07:33:26,alert_570,node_Y,79,service_F,Description of event,condition_2,3107
4694,2023-08-18 07:33:26,alert_830,node_O,14,service_F,Description of event,condition_4,4798
3241,2023-08-25 07:33:26,alert_266,node_J,25,service_B,Description of event,condition_5,9922
3288,2023-08-27 07:33:26,alert_194,node_I,63,service_E,Description of event,condition_4,1326
9848,2023-08-14 07:33:26,alert_588,node_S,30,service_D,Description of event,condition_1,6372
6388,2023-08-01 07:33:26,alert_191,node_Q,11,service_B,Description of event,condition_5,6937
9594,2023-08-11 07:33:26,alert_476,node_Z,11,service_B,Description of event,condition_1,7317
9646,2023-08-01 07:33:26,alert_733,node_R,70,service_D,Description of event,condition_5,8494
9655,2023-08-21 07:33:26,alert_512,node_R,72,service_D,Description of event,condition_1,1865
3250,2023-08-13 07:33:26,alert_261,node_E,63,service_F,Description of event,condition_5,4619
9284,2023-08-26 07:33:26,alert_948,node_F,30,service_A,Description of event,condition_4,7515
6040,2023-08-22 07:33:26,alert_617,node_E,98,service_F,Description of event,condition_4,1635
7573,2023-08-16 07:33:26,alert_745,node_V,80,service_D,Description of event,condition_4,5150
7269,2023-08-21 07:33:26,alert_246,node_Q,85,service_B,Description of event,condition_4,9085
4069,2023-08-09 07:33:26,alert_460,node_R,92,service_A,Description of event,condition_3,2062
7038,2023-08-23 07:33:26,alert_880,node_K,18,service_B,Description of event,condition_1,2784
2781,2023-08-20 07:33:26,alert_750,node_V,97,service_B,Description of event,condition_2,2016
9011,2023-08-28 07:33:26,alert_734,node_L,53,service_B,Description of event,condition_5,4651
7201,2023-08-08 07:33:26,alert_191,node_G,27,service_F,Description of event,condition_4,3946
1816,2023-08-07 07:33:26,alert_804,node_W,14,service_E,Description of event,condition_2,2297
9481,2023-08-13 07:33:26,alert_738,node_Z,84,service_C,Description of event,condition_1,4485
7104,2023-08-29 07:33:26,alert_280,node_W,26,service_F,Description of event,condition_3,3881
3519,2023-08-19 07:33:26,alert_284,node_W,97,service_D,Description of event,condition_1,3036
2835,2023-08-23 07:33:26,alert_514,node_K,37,service_E,Description of event,condition_1,5771
4701,2023-08-15 07:33:26,alert_431,node_Q,98,service_C,Description of event,condition_1,7958
6982,2023-08-08 07:33:26,alert_385,node_I,78,service_B,Description of event,condition_1,3521
1756,2023-08-23 07:33:26,alert_401,node_N,46,service_B,Description of event,condition_3,4929
9094,2023-08-20 07:33:26,alert_208,node_R,31,service_C,Description of event,condition_5,1250
3491,2023-08-05 07:33:26,alert_228,node_V,21,service_D,Description of event,condition_2,6260
5721,2023-08-22 07:33:26,alert_823,node_G,33,service_A,Description of event,condition_1,7303
5356,2023-08-29 07:33:26,alert_722,node_R,85,service_E,Description of event,condition_2,8775
5325,2023-08-20 07:33:26,alert_864,node_J,17,service_C,Description of event,condition_3,3912
6304,2023-08-25 07:33:26,alert_533,node_Q,52,service_F,Description of event,condition_2,7522
6883,2023-08-12 07:33:26,alert_702,node_Z,63,service_A,Description of event,condition_4,6594
4543,2023-08-08 07:33:26,alert_213,node_T,82,service_A,Description of event,condition_1,1659
1742,2023-08-28 07:33:26,alert_412,node_X,30,service_D,Description of event,condition_3,6805
6161,2023-08-27 07:33:26,alert_264,node_G,76,service_E,Description of event,condition_3,5771
9604,2023-08-09 07:33:26,alert_122,node_H,60,service_B,Description of event,condition_3,2395
6292,2023-08-08 07:33:26,alert_317,node_G,83,service_C,Description of event,condition_4,7965
7012,2023-08-11 07:33:26,alert_728,node_M,50,service_D,Description of event,condition_5,9497
2498,2023-08-19 07:33:26,alert_857,node_I,78,service_E,Description of event,condition_4,7968
4903,2023-08-25 07:33:26,alert_815,node_W,41,service_C,Description of event,condition_2,1693
3445,2023-08-27 07:33:26,alert_557,node_E,34,service_E,Description of event,condition_3,8585
2540,2023-08-22 07:33:26,alert_935,node_K,74,service_E,Description of event,condition_3,1283
1443,2023-08-04 07:33:26,alert_694,node_F,38,service_C,Description of event,condition_5,7615
8682,2023-08-09 07:33:26,alert_377,node_B,80,service_A,Description of event,condition_1,9155
7405,2023-08-25 07:33:26,alert_849,node_K,19,service_E,Description of event,condition_1,8516
5328,2023-08-25 07:33:26,alert_385,node_W,91,service_A,Description of event,condition_1,8781
2576,2023-08-07 07:33:26,alert_406,node_A,45,service_B,Description of event,condition_2,8255
5737,2023-08-03 07:33:26,alert_893,node_T,13,service_E,Description of event,condition_2,5491
3381,2023-08-26 07:33:26,alert_221,node_Q,80,service_F,Description of event,condition_4,2768
9307,2023-08-06 07:33:26,alert_594,node_F,54,service_A,Description of event,condition_2,6909
7857,2023-08-01 07:33:26,alert_294,node_F,29,service_E,Description of event,condition_1,5489
9166,2023-08-26 07:33:26,alert_843,node_B,27,service_B,Description of event,condition_1,8020
5463,2023-08-16 07:33:26,alert_208,node_X,74,service_C,Description of event,condition_1,4532
9808,2023-08-22 07:33:26,alert_752,node_O,40,service_C,Description of event,condition_2,6344
6005,2023-08-03 07:33:26,alert_223,node_V,44,service_B,Description of event,condition_3,4293
8685,2023-08-16 07:33:26,alert_540,node_U,10,service_E,Description of event,condition_3,7367
6675,2023-08-13 07:33:26,alert_895,node_K,91,service_F,Description of event,condition_5,7849
8543,2023-08-16 07:33:26,alert_314,node_H,16,service_F,Description of event,condition_2,6827
5130,2023-08-25 07:33:26,alert_613,node_S,53,service_E,Description of event,condition_4,6940
5900,2023-08-01 07:33:26,alert_836,node_Q,11,service_B,Description of event,condition_1,6881
7239,2023-08-04 07:33:26,alert_125,node_T,22,service_A,Description of event,condition_4,4878
6720,2023-08-10 07:33:26,alert_906,node_X,73,service_C,Description of event,condition_3,4442
4282,2023-08-02 07:33:26,alert_226,node_V,25,service_B,Description of event,condition_1,8041
1898,2023-08-16 07:33:26,alert_632,node_Z,91,service_F,Description of event,condition_5,7912
2984,2023-08-18 07:33:26,alert_448,node_I,20,service_F,Description of event,condition_2,2901
6127,2023-08-06 07:33:26,alert_802,node_T,60,service_A,Description of event,condition_3,2926
8950,2023-08-23 07:33:26,alert_659,node_E,32,service_F,Description of event,condition_3,5954
3041,2023-08-06 07:33:26,alert_471,node_D,37,service_B,Description of event,condition_3,1874
6893,2023-08-17 07:33:26,alert_623,node_Y,71,service_C,Description of event,condition_1,6985
1739,2023-08-21 07:33:26,alert_625,node_S,96,service_A,Description of event,condition_5,1272
1397,2023-08-20 07:33:26,alert_919,node_L,98,service_C,Description of event,condition_5,5943
4995,2023-08-17 07:33:26,alert_928,node_L,60,service_C,Description of event,condition_2,1039
2699,2023-08-16 07:33:26,alert_581,node_V,50,service_E,Description of event,condition_5,8082
2773,2023-08-06 07:33:26,alert_487,node_N,84,service_D,Description of event,condition_2,8621
3258,2023-08-27 07:33:26,alert_561,node_K,38,service_F,Description of event,condition_1,7234
7875,2023-08-03 07:33:26,alert_646,node_Z,28,service_E,Description of event,condition_5,3267
4130,2023-08-08 07:33:26,alert_977,node_D,25,service_B,Description of event,condition_5,3202
7354,2023-08-06 07:33:26,alert_758,node_Z,44,service_A,Description of event,condition_5,4123
3957,2023-08-05 07:33:26,alert_793,node_E,80,service_B,Description of event,condition_1,3703
8389,2023-08-13 07:33:26,alert_406,node_P,20,service_E,Description of event,condition_2,3928
3082,2023-08-10 07:33:26,alert_350,node_H,60,service_A,Description of event,condition_4,9279
3437,2023-08-12 07:33:26,alert_557,node_S,93,service_D,Description of event,condition_4,2972
1528,2023-08-04 07:33:26,alert_819,node_R,50,service_B,Description of event,condition_4,7986
1782,2023-08-30 07:33:26,alert_111,node_Z,75,service_C,Description of event,condition_4,7884
6431,2023-08-21 07:33:26,alert_303,node_L,56,service_B,Description of event,condition_5,2849
7673,2023-08-20 07:33:26,alert_349,node_B,28,service_F,Description of event,condition_1,7189
4575,2023-08-22 07:33:26,alert_809,node_C,22,service_A,Description of event,condition_3,5335
5854,2023-08-18 07:33:26,alert_823,node_I,71,service_A,Description of event,condition_1,3596
4466,2023-08-11 07:33:26,alert_446,node_C,94,service_C,Description of event,condition_4,7145
4460,2023-08-06 07:33:26,alert_787,node_A,15,service_D,Description of event,condition_3,5974
6919,2023-08-23 07:33:26,alert_997,node_S,39,service_A,Description of event,condition_2,5245
2468,2023-08-25 07:33:26,alert_113,node_D,53,service_C,Description of event,condition_2,8925
5234,2023-08-28 07:33:26,alert_291,node_G,36,service_F,Description of event,condition_2,8418
8279,2023-08-01 07:33:26,alert_885,node_M,64,service_E,Description of event,condition_2,3764
5755,2023-08-11 07:33:26,alert_295,node_Y,24,service_F,Description of event,condition_1,5992
6110,2023-08-10 07:33:26,alert_408,node_G,31,service_D,Description of event,condition_1,1568
6076,2023-08-04 07:33:26,alert_847,node_A,53,service_E,Description of event,condition_2,7974
3352,2023-08-16 07:33:26,alert_742,node_A,17,service_A,Description of event,condition_4,4898
7859,2023-08-17 07:33:26,alert_766,node_B,81,service_A,Description of event,condition_2,8621
3839,2023-08-13 07:33:26,alert_841,node_I,53,service_E,Description of event,condition_4,3523
2427,2023-08-07 07:33:26,alert_204,node_Y,55,service_C,Description of event,condition_1,5820
3502,2023-08-25 07:33:26,alert_784,node_I,99,service_F,Description of event,condition_5,1548
6239,2023-08-24 07:33:26,alert_223,node_B,40,service_F,Description of event,condition_1,7275
1481,2023-08-17 07:33:26,alert_216,node_Q,34,service_E,Description of event,condition_5,9274
1895,2023-08-11 07:33:26,alert_548,node_I,52,service_D,Description of event,condition_5,4806
1499,2023-08-20 07:33:26,alert_200,node_A,100,service_A,Description of event,condition_2,9347
2984,2023-08-03 07:33:26,alert_331,node_X,60,service_A,Description of event,condition_5,6529
4385,2023-08-15 07:33:26,alert_664,node_C,39,service_F,Description of event,condition_2,1129
7899,2023-08-04 07:33:26,alert_960,node_U,71,service_B,Description of event,condition_5,6643
8446,2023-08-02 07:33:26,alert_205,node_H,55,service_E,Description of event,condition_3,3506
2039,2023-08-13 07:33:26,alert_784,node_C,73,service_C,Description of event,condition_4,1475
5524,2023-08-11 07:33:26,alert_128,node_N,50,service_B,Description of event,condition_4,3228
7122,2023-08-17 07:33:26,alert_610,node_K,71,service_D,Description of event,condition_4,5733
7253,2023-08-15 07:33:26,alert_810,node_V,51,service_A,Description of event,condition_3,8831
1044,2023-08-09 07:33:26,alert_688,node_Z,30,service_D,Description of event,condition_3,8608
7442,2023-08-06 07:33:26,alert_412,node_B,100,service_D,Description of event,condition_3,8423
3952,2023-08-19 07:33:26,alert_825,node_G,15,service_B,Description of event,condition_1,1962
2212,2023-08-05 07:33:26,alert_337,node_S,64,service_B,Description of event,condition_4,5256
7150,2023-08-11 07:33:26,alert_837,node_U,98,service_C,Description of event,condition_3,8972
1455,2023-08-03 07:33:26,alert_751,node_P,42,service_C,Description of event,condition_5,1388
6616,2023-08-21 07:33:26,alert_315,node_W,47,service_E,Description of event,condition_3,4511
5030,2023-08-03 07:33:26,alert_609,node_Y,55,service_D,Description of event,condition_5,1113
4765,2023-08-14 07:33:26,alert_883,node_J,83,service_C,Description of event,condition_4,7208
9655,2023-08-12 07:33:26,alert_851,node_D,58,service_D,Description of event,condition_2,8776
1631,2023-08-08 07:33:26,alert_115,node_N,59,service_B,Description of event,condition_2,1476
6674,2023-08-15 07:33:26,alert_178,node_I,96,service_C,Description of event,condition_5,2387
5196,2023-08-08 07:33:26,alert_107,node_J,49,service_A,Description of event,condition_1,9759
7506,2023-08-26 07:33:26,alert_936,node_Z,78,service_E,Description of event,condition_4,6736
1999,2023-08-22 07:33:26,alert_455,node_V,64,service_E,Description of event,condition_5,2270
5972,2023-08-11 07:33:26,alert_168,node_J,70,service_F,Description of event,condition_4,3876
8479,2023-08-03 07:33:26,alert_606,node_I,32,service_B,Description of event,condition_4,9832
6915,2023-08-02 07:33:26,alert_482,node_Y,52,service_B,Description of event,condition_2,8967
3302,2023-08-12 07:33:26,alert_379,node_H,52,service_E,Description of event,condition_5,5690
9250,2023-08-11 07:33:26,alert_675,node_T,31,service_E,Description of event,condition_2,4199
7079,2023-08-27 07:33:26,alert_454,node_Z,91,service_A,Description of event,condition_2,1970
7547,2023-08-25 07:33:26,alert_232,node_D,97,service_F,Description of event,condition_2,9479
2703,2023-08-27 07:33:26,alert_918,node_V,85,service_E,Description of event,condition_4,2042
6564,2023-08-06 07:33:26,alert_475,node_N,54,service_B,Description of event,condition_2,5765
8437,2023-08-18 07:33:26,alert_985,node_H,100,service_B,Description of event,condition_4,9686
7543,2023-08-23 07:33:26,alert_410,node_T,64,service_E,Description of event,condition_4,9429
2322,2023-08-20 07:33:26,alert_354,node_C,65,service_E,Description of event,condition_3,8823
6863,2023-08-27 07:33:26,alert_611,node_I,56,service_E,Description of event,condition_5,7446
7855,2023-08-13 07:33:26,alert_352,node_B,70,service_B,Description of event,condition_1,6795
6968,2023-08-22 07:33:26,alert_251,node_D,40,service_E,Description of event,condition_3,1756
4474,2023-08-25 07:33:26,alert_958,node_T,55,service_C,Description of event,condition_3,2040
1227,2023-08-20 07:33:26,alert_430,node_V,40,service_B,Description of event,condition_3,7210
7048,2023-08-07 07:33:26,alert_793,node_Q,70,service_D,Description of event,condition_4,1172
1480,2023-08-07 07:33:26,alert_620,node_D,43,service_C,Description of event,condition_5,6599
6156,2023-08-01 07:33:26,alert_707,node_H,24,service_D,Description of event,condition_2,2860
6091,2023-08-29 07:33:26,alert_826,node_M,16,service_B,Description of event,condition_2,7069
5900,2023-08-23 07:33:26,alert_253,node_D,96,service_B,Description of event,condition_4,8892
4118,2023-08-08 07:33:26,alert_873,node_L,22,service_E,Description of event,condition_3,2355
8944,2023-08-02 07:33:26,alert_129,node_W,50,service_D,Description of event,condition_2,3441
7356,2023-08-14 07:33:26,alert_268,node_D,99,service_F,Description of event,condition_1,2188
7401,2023-08-27 07:33:26,alert_984,node_U,26,service_F,Description of event,condition_4,4585
4661,2023-08-07 07:33:26,alert_883,node_B,55,service_C,Description of event,condition_4,5490
6726,2023-08-27 07:33:26,alert_319,node_P,78,service_E,Description of event,condition_4,2092
9327,2023-08-11 07:33:26,alert_423,node_I,99,service_C,Description of event,condition_5,4463
5354,2023-08-22 07:33:26,alert_607,node_Z,92,service_D,Description of event,condition_2,6638
2243,2023-08-08 07:33:26,alert_297,node_G,16,service_C,Description of event,condition_4,4969
4809,2023-08-24 07:33:26,alert_257,node_X,78,service_A,Description of event,condition_2,1804
